Latitude	Longitude	depth.Maximum.Or.Single.Reported	Maximum Temperature	Full Spreading Rate (mm/a)	Node ID
38.9833	-29.8833	570	-999	19.5	1320
-30.214	-178.721	500	-999	-999	972
-28.9833	-140.25	150	-999	-999	973
49.75	-130.2667	1850	311	56.3	974
49.725	-130.2667	1850	-999	56.3	975
47.9487	-129.0981	2220	402	56.2	976
-15.4217	-174.285	1660	-999	107.7	977
20.53	144.8833	420	-999	-999	978
-5.53	130.292	2	-999	-999	1211
11.4482	-43.7035	3835	-999	26.9	979
11.038	-43.6483	4010	-999	26.9	980
12.8	-44.7883	2400	-999	26.2	981
13.3333	-44.9	3000	-999	26.2	982
14.92	-44.9	3500	-999	25.5	983
15.8667	-46.6667	3000	-999	25.2	984
16.795	-46.38	3300	-999	25.2	985
17.15	-46.42	3100	-999	25.2	1300
-17.2522	-14.227	3280	-999	34.1	1327
-19.3301	-11.9421	2707	-999	34.2	1288
22.5	-45.005	2800	-999	24.3	986
23.5833	-45	3500	-999	24.1	987
-23.7428	-13.3936	2868	-999	34.4	1287
24.35	-46.2	3200	-999	24	988
24.5	-46.1533	3900	-999	24	989
25.8083	-44.9833	3000	-999	23.7	990
-25.335	-13.6305	2570	-999	34.4	1328
27	-44.5	2900	-999	23.4	991
-27.1476	-13.4753	3341	-999	34.4	1286
-27.7936	-13.373	3217	-999	34.4	1285
30.0333	-42.5	3400	-999	22.6	992
-29.9505	-13.8545	3379	-999	34.3	1284
-30.8327	-13.469	2950	-999	34.3	1329
-31.7377	-13.3772	3050	-999	34.2	1330
-33.0215	-14.4356	2464	-999	34.1	1283
-4.0333	-12.25	4000	-999	32.3	635
-4.8058	-12.3742	3050	407	32.4	993
43	-29	3400	-999	22.8	994
-7.95	-13.442	2600	-999	33	995
-8.167	-13.467	2000	-999	33	996
0.5	-25	3500	-999	30.7	1290
15.0833	-45	3000	-999	25.5	997
18.0333	144.2833	3600	-999	32.3	998
12.761	143.473	2950	-999	51.9	999
18.0467	144.7533	3676	290	32.3	1000
-22.18	-176.6017	1910	365	49.6	1001
5.91	-33.18	3500	-999	28.8	1002
39.26	14.378	800	-999	35	1003
-14.9833	-173.8	2315	-999	-999	620
-14.9166	-173.7833	2644	331	-999	617
-14.9583	-173.7833	2670	-999	-999	619
-14.9333	-173.7916	2370	-999	-999	618
-15.0416	-173.7833	2160	-999	-999	622
-15.0049	-173.7936	1840	271	-999	1004
-15.0166	-173.7833	2397	360	-999	621
-4.27	152.2	30	-999	-999	1005
20.02	145.22	145	63	-999	1006
9.1404	-104.2065	2580	335	105.2	1007
37.8417	-31.525	865	281	19.9	1008
37.15	-32.4333	1802	-999	20.2	1009
-26.0166	-13.85	2550	-999	34.4	1280
-23.3927	69.2422	2850	-999	47	1010
37.615	23.336	10	-999	-999	1011
48.4341	-128.6812	2440	270	56.2	1012
48.456	-128.7088	2450	276	56.2	1013
36.6667	24.5167	200	123	-999	1015
28.3917	127.6417	740	278	24.2	1016
23.497	141.94	80	-999	-999	1017
-22.47	-176.703	2050	-999	45	1018
71.9583	-0.7083	2600	-999	16	1279
28.32	140.58	1200	-999	-999	1019
-22.64	-176.721	2180	-999	41.4	1020
-25.8	-177.15	1165	54	-999	1021
-25.887	-177.188	150	-999	-999	1022
16.71	-62.23	10	-999	-999	1023
16.46	-61.982	1000	-999	-999	1212
47.9233	-129.1082	2270	320	56.2	1024
9.45	-104.5383	2950	-999	102.6	1025
-27.85	63.9333	2940	-999	9.6	1026
45.4833	-27.85	2900	-999	22.5	1027
-15.3333	-174.6667	2100	-999	106.4	887
-15.9629	-174.7961	2400	-999	94.2	1275
-15.8311	-174.8443	2600	-999	94.2	1274
-15.633	-174.8248	2300	-999	97.3	1271
-15.7186	-174.8338	2400	-999	97.3	1272
-15.7804	-174.8418	2500	-999	94.2	1273
-15.5134	-174.7407	2100	-999	100.6	1270
-18.8167	173.4833	2700	-999	75.8	1028
32.1033	139.8683	1360	278	-999	1029
31.8833	139.95	1110	-999	-999	1030
35.283	-34.867	2600	-999	20.9	1031
-20.4	-176.158	2700	-999	79.3	1032
-19.89	-176.064	2680	-999	84.7	1033
-19.82	-176.042	2600	-999	87.2	1034
-19.75	-176.019	2570	-999	89.3	1035
-19.65	-175.989	2550	-999	92.8	1036
-19.6	-175.975	2700	-999	92.8	1037
30.75	130.333	26	-999	-999	1038
27.575	127.1417	1600	-999	28.8	1039
3.7791	125.375	600	-999	-999	1040
2.53	-94.075	2380	-999	50.9	1041
16.375	145.725	460	-999	-999	1042
-3.6754	151.7272	1875	35	140.6	1301
-37.8666	49.2166	3000	-999	12.1	607
-15.2179	-174.1788	2000	-999	109.8	1268
12.91	-44.9	4100	-999	26.2	1043
23.167	37.283	2400	-999	13.2	1044
41	-127.4917	3300	217	55.4	1045
-2.8333	152.5333	1200	-999	-999	1047
-33.731	179.825	467	-999	-999	1048
-8.3	-13.52	2900	371	33	1049
-18.133	169.517	1900	345	50	1050
23.0833	142.3333	600	248	-999	1051
31.3667	138.75	1600	-999	-999	1052
27.2367	140.8783	5	-999	-999	1053
36.56	27.14	18	-999	-999	1054
-15.0667	-173.5667	800	-999	-999	1277
-15.165	-173.57	1180	315	-999	940
-15.379	-174.0196	1635	-999	107.7	906
-31.15	-111.9167	2330	378	151.2	1055
44.98	-130.2	2300	332	55.9	1056
44.8833	-130.2667	2250	-999	55.9	1057
36.967	-32.967	2500	-999	20.3	1058
27.7908	126.8966	1100	317	28.2	1059
21.485	144.043	1604	105	-999	1061
14.601	144.775	599	257	-999	1062
46.6899	-129.3772	2419	223	56.1	1063
-15.8	-177.2666	2200	-999	75.4	1060
-15.9	-177.4166	2160	-999	76.4	1298
30.3303	129.0827	521	-999	20.7	1064
28.8137	128.1028	779	-999	22.6	1065
34.5467	139.4417	200	194	-999	1278
9.8333	57.95	4500	-999	24.5	1066
-60	-152	2300	-999	69.4	1067
-64.5	-170	2300	-999	58.2	1068
-3.725	151.67	1800	276	140.6	1069
39.55	14.7	1000	54	-999	1070
38.6583	15.1	200	135	-999	1071
50.33	155.5	800	-999	-999	1072
16	139.1667	5000	-999	-999	1073
0.75	-88.2	2000	-999	59.3	1266
-16.9233	-176.825	1900	-999	80	1074
-16.9667	173.9333	2000	-999	55.5	1075
15.4802	144.5077	3935	265	43.1	1314
23.9567	-108.8618	3685	290	46.9	1218
12	131.417	5800	-999	-999	1076
55.4167	167.2717	500	133	-999	1077
12.9183	143.6483	2990	343	51.3	1078
-23.3275	-111.6402	2270	-999	37.6	1079
1.22	-101.49	1700	-999	32.2	1206
-22.3333	166.8333	50	40	-999	1281
5.8166	95.3	8	-999	-999	602
31.75	-116.75	30	102	-999	1080
20.77	-105.52	10	85	-999	1081
-27.68	-177.61	700	-999	-999	1083
20.5083	-45.6417	2000	-999	24.7	1084
36.23	-33.902	2320	362	20.6	1085
-14.03	-14.34	2900	-999	33.8	614
-26.81	-177.4	1200	-999	-999	1086
-21.562	-114.3	2845	405	148.7	1087
17.9667	40.0667	1500	-999	16.7	1088
20.8033	-109.3783	2000	-999	63	1089
-17.4333	-113.2	2590	376	146.4	1090
62.45	-25.433	500	-999	19.3	1091
59.8167	-29.6833	1000	-999	20	1092
37.725	-25.316	10	-999	4	1282
27.5083	-111.6792	1740	70	45.8	1224
-0.9767	-24.5133	3100	-999	31.1	1093
0.8058	-86.2267	2550	22	63	1094
15.62	145.57	214	-999	-999	1095
-35.36	178.517	1500	-999	-999	1096
-35.7333	178.4667	380	-999	-999	1097
-36.1333	178.1833	755	40	-999	1098
36.083	-34.083	2630	-999	20.7	1099
35.967	-34.183	2240	-999	20.7	1100
34.867	-36.433	3460	-999	21.1	1101
34.533	-36.85	3000	-999	21.2	1102
34.067	-37.483	3250	-999	21.4	1103
-31.85	-112.0333	2330	370	194.2	1104
27.5481	126.9895	1600	338	28.8	869
36.5667	-33.4333	2300	-999	20.5	1105
47.9822	-129.0756	2200	329	56.2	1106
-10.4	164.75	2000	-999	-999	1107
-10.5	164	2000	-999	-999	1108
31	-114.8	1	-999	-999	1295
-8.13	119.09	2	96	-999	1294
36.4333	25.4	400	-999	-999	1109
47.9969	-129.0662	2200	289	56.2	1110
42.755	-126.7083	2800	308	55.7	1111
13.25	144.02	1450	-999	-999	1112
-12.5433	167.7883	1425	-999	-999	1113
38.6333	14.85	240	-999	-999	628
-28.0614	74.1733	5000	-999	58.4	1114
-50.25	137	2620	-999	70.5	1309
-50.25	138.55	2400	-999	70.5	1311
-50.25	138.3	2420	-999	70.5	1310
-50.25	136.25	2780	-999	70.5	1308
-50.25	135.3	3000	-999	70.5	1306
-50.3	133.8	2780	-999	70.5	1304
-50.25	132.1	2950	-999	70.5	1303
-50.25	131.9	3050	-999	70.5	1302
-50.4	134.3	2760	-999	70.5	1305
13.5137	-44.963	2440	-999	26	1122
40.75	-127.52	3300	-999	55.4	1123
71.1348	-13.0566	2200	-999	16.7	1208
26.225	35.35	1540	-999	11	1124
33.5667	140.1667	200	-999	-999	1125
-22.29	-176.629	1950	-999	45	1126
38.7833	13.8666	1200	-999	-999	629
12.9533	143.62	2880	248	51.3	1127
23.3683	-44.95	3500	366	24.1	1128
-19.545	65.85	2630	-999	41.3	1129
-3.1667	147.1917	1500	-999	121.7	1130
-3.7086	151.8834	1920	-999	142.5	1131
-3.732	151.7465	2000	-999	140.6	1132
-3.438	149.967	2163	-999	67.8	1133
-3.038	147.528	535	-999	125.3	1134
-3.076	147.239	1308	-999	123.6	1135
-3.666	148.764	1039	-999	124	1136
-34.058	179.589	1127	-999	-999	1137
-16.95	173.9167	1980	-999	55.5	1138
71.2593	-5.8146	750	270	16.4	1139
46.155	-129.81	2055	294	56	1140
44.6667	-130.3667	2250	342	55.9	1141
40.467	-29.55	2900	-999	23.1	1142
16.58	145.78	240	-999	-999	1215
47.64	-128.9667	2350	-999	56.2	1143
24.855	123.841	1520	310	49	1144
24.849	122.7	1385	328	49	1145
68	-17.5	900	-999	17.6	1146
19.8666	-45.8666	3400	-999	24.7	615
-10.867	166.7	800	-999	-999	1147
-12.2083	167.6462	1600	-999	-999	1148
-16.3167	173.55	3900	-999	36.2	1149
-17.6167	-113.233	2600	350	146.7	1150
63.1	-24.5333	350	-999	19.1	1151
47.9	-129.124	2300	-999	56.2	632
38.789	15.213	250	-999	-999	1152
-38.1	48.6	3000	-999	12.2	1291
19.6333	38.7333	2850	-999	15.3	1153
28.575	140.6417	1380	317	-999	1154
31.4667	140.0667	690	-999	-999	1156
31.1	139.8917	1600	-999	5.5	1157
-3.8	152.1	1520	332	145.3	1158
22.387	142.762	1750	-999	-999	1159
-37.466	51.732	1595	-999	11.7	1161
-36.101	53.255	2218	-999	11.5	1162
-27.851	63.923	2759	-999	9.6	1164
-53.02	22.188	4170	-999	13.8	1165
-52.749	11.711	3981	-999	13.5	1166
-52.42	12.748	3913	-999	13.5	1167
-52.437	13.312	4029	-999	13.5	1168
-52.224	13.738	3517	-999	13.5	1169
-52.253	15.103	3990	-999	13.6	1170
-52.208	15.583	4100	-999	13.6	1171
-52.707	18.817	3931	-999	13.7	1172
-31.183	58.5	3600	-999	10.6	1173
-31.067	58.967	4200	-999	10.6	1174
-30.85	59.383	3900	-999	10.4	1175
