year_kyrBP	geologic_carbon_rate_PgCyr	geologic_carbon_cumulative_PgC	alk_to_dic_ratio	terrestrial_carbon_uptake_rate_PgCyr	terrestrial_carbon_uptake_cumulative_PgC	terrestrial_carbon_release_rate_PgCyr	terrestrial_carbon_release_cumulative_PgC	atmospheric_CO2_ppm	atmospheric_∆14C_permil	deep_atlantic_CO3_umolkg	deep_indian_CO3_umolkg	deep_south_pacific_CO3_umolkg	deep_south_pacific_CO3_umolkg
10.4	0	0	0	0	0	0	0	242.411	125.059	132.773	95.8585	94.6533	91.6571
10.3	0	0	0	0	0	0	0	243.374	124.001	132.155	95.7532	94.4347	91.4227
10.2	0	0	0	0	0	0	0	244.312	122.843	131.535	95.5926	94.1782	91.1411
10.1	0	0	0	0	0	0	0	245.228	120.596	130.929	95.4063	93.8845	90.8226
10.0	0	0	0	0	0	0	0	246.121	118.008	130.334	95.2486	93.5598	90.4744
9.9	0	0	0	0	0	0	0	246.988	115.246	129.753	95.0964	93.2115	90.1026
9.8	0	0	0	0	0	0	0	247.83	112.351	129.187	94.9395	92.8454	89.7128
9.7	0	0	0	0	0	0	0	248.648	109.348	128.635	94.7485	92.4659	89.3095
9.6	0	0	0	0	0	0	0	249.447	106.259	128.098	94.5026	92.0754	88.8965
9.5	0	0	0	0	0	0	0	250.231	103.096	127.573	94.2169	91.7362	88.5164
9.4	0	0	0	0	0	0	0	250.997	100.73	127.062	93.9055	91.4783	88.2759
9.3	0	0	0	0	0	0	0	251.739	98.8296	126.565	93.5798	91.2141	88.0279
9.2	0	0	0	0	0	0	0	252.461	97.179	126.083	93.2448	90.9216	87.7555
9.1	0	0	0	0	0	0	0	253.166	95.6977	125.614	92.9027	90.6102	87.4624
9.0	0	0	0	0	0	0	0	253.86	94.3512	125.157	92.5551	90.2851	87.1525
8.9	0	0	0	0	0	0	0	254.543	93.1329	124.709	92.2034	89.9499	86.8296
8.8	0	0	0	0	0	0	0	255.219	92.0154	124.261	91.8814	89.6071	86.4966
8.7	0	0	0	0	0	0	0	255.884	90.9821	123.816	91.6649	89.2603	86.1561
8.6	0	0	0	0	0	0	0	256.534	90.0249	123.376	91.4796	88.9138	85.8109
8.5	0	0	0	0	0	0	0	257.17	89.1346	122.944	91.2535	88.578	85.4639
8.4	0	0	0	0	0	0	0	257.794	88.7604	122.532	90.9941	88.3157	85.2012
8.3	0	0	0	0	0	0	0	258.401	88.7225	122.143	90.717	88.1092	85.0231
8.2	0	0	0	0	0	0	0	258.988	88.9115	121.774	90.4327	87.8941	84.8306
8.1	0	0	0	0	0	0	0	259.556	89.297	121.42	90.1456	87.6604	84.6212
8.0	0	0	0	0	0	0	0	260.11	89.8428	121.079	89.8577	87.4153	84.3973
7.9	0	0	0	0	0	0	0	260.653	90.6007	120.749	89.5701	87.1625	84.1619
7.8	0	0	0	0	0	0	0	261.186	91.5289	120.428	89.2838	86.9043	83.9178
7.7	0	0	0	0	0	0	0	261.712	92.6136	120.114	88.9993	86.6424	83.667
7.6	0	0	0	0	0	0	0	262.231	93.865	119.808	88.717	86.3781	83.4114
7.5	0	0	0	0	0	0	0	262.744	95.2527	119.507	88.4888	86.1126	83.1523
7.4	0	0	0	0	0	0	0	263.246	95.6686	119.212	88.3264	85.8489	82.8913
7.3	0	0	0	0	0	0	0	263.734	95.5302	118.925	88.1887	85.5892	82.6302
7.2	0	0	0	0	0	0	0	264.208	95.1106	118.646	88.0451	85.3417	82.3708
7.1	0	0	0	0	0	0	0	264.667	94.5016	118.376	87.8738	85.1411	82.1509
7.0	0	0	0	0	0	0	0	265.113	93.7538	118.114	87.6865	84.9795	82.0172
6.9	0	0	0	0	0	0	0	265.543	92.9119	117.861	87.4916	84.843	81.9055
6.8	0	0	0	0	0	0	0	265.956	91.9961	117.618	87.2942	84.7073	81.7814
6.7	0	0	0	0	0	0	0	266.356	91.0312	117.383	87.0966	84.5566	81.6466
6.6	0	0	0	0	0	0	0	266.746	90.0464	117.157	86.8997	84.3966	81.502
6.5	0	0	0	0	0	0	0	267.127	89.0304	116.937	86.7038	84.2305	81.3493
6.4	0	0	0	0	0	0	0	267.501	88.3085	116.723	86.5093	84.0603	81.1902
6.3	0	0	0	0	0	0	0	267.87	87.7579	116.513	86.3165	83.8873	81.0262
6.2	0	0	0	0	0	0	0	268.233	87.3069	116.307	86.1255	83.7124	80.8585
6.1	0	0	0	0	0	0	0	268.593	86.9446	116.098	85.9362	83.5361	80.6881
6.0	0	0	0	0	0	0	0	268.95	86.6407	115.885	85.748	83.3584	80.5157
5.9	0	0	0	0	0	0	0	269.307	86.3826	115.672	85.5606	83.1796	80.3416
5.8	0	0	0	0	0	0	0	269.662	86.161	115.459	85.3796	82.9999	80.1664
5.7	0	0	0	0	0	0	0	270.017	85.9703	115.246	85.2421	82.8201	79.9902
5.6	0	0	0	0	0	0	0	270.366	85.8078	115.035	85.1294	82.6417	79.8137
5.5	0	0	0	0	0	0	0	270.709	85.6703	114.826	85.0267	82.4655	79.6375
5.4	0	0	0	0	0	0	0	271.046	84.8004	114.621	84.9274	82.2916	79.4623
5.3	0	0	0	0	0	0	0	271.377	83.4849	114.422	84.8287	82.1358	79.2904
5.2	0	0	0	0	0	0	0	271.7	81.9294	114.236	84.73	81.9991	79.1439
5.1	0	0	0	0	0	0	0	272.012	80.221	114.061	84.6246	81.8824	79.0489
5.0	0	0	0	0	0	0	0	272.312	78.3764	113.896	84.5082	81.7829	78.9803
4.9	0	0	0	0	0	0	0	272.6	76.4487	113.738	84.3865	81.6945	78.9191
4.8	0	0	0	0	0	0	0	272.876	74.4408	113.587	84.2629	81.6088	78.8472
4.7	0	0	0	0	0	0	0	273.142	72.3708	113.443	84.1391	81.5219	78.7679
4.6	0	0	0	0	0	0	0	273.399	70.2698	113.305	84.0163	81.4329	78.6838
4.5	0	0	0	0	0	0	0	273.648	68.1169	113.172	83.895	81.3422	78.5961
4.4	0	0	0	0	0	0	0	273.891	66.3026	113.043	83.7756	81.2498	78.5058
4.3	0	0	0	0	0	0	0	274.127	64.677	112.918	83.6581	81.1562	78.4136
4.2	0	0	0	0	0	0	0	274.358	63.1479	112.797	83.5426	81.0589	78.3195
4.1	0	0	0	0	0	0	0	274.585	61.6961	112.679	83.4289	80.9589	78.2235
4.0	0	0	0	0	0	0	0	274.809	60.2894	112.564	83.317	80.8575	78.1257
3.9	0	0	0	0	0	0	0	275.029	58.9123	112.45	83.2067	80.7555	78.0266
3.8	0	0	0	0	0	0	0	275.246	57.5545	112.339	83.0979	80.6531	77.9265
3.7	0	0	0	0	0	0	0	275.46	55.6109	112.229	82.9905	80.5507	77.8258
3.6	0	0	0	0	0	0	0	275.672	52.0567	112.121	82.8846	80.4485	77.7248
3.5	0	0	0	0	0	0	0	275.882	47.814	112.015	82.7799	80.3467	77.6237
3.4	0	0	0	0	0	0	0	276.089	43.328	111.91	82.6766	80.2452	77.5227
3.3	0	0	0	0	0	0	0	276.295	38.6006	111.806	82.5744	80.1443	77.4219
3.2	0	0	0	0	0	0	0	276.499	34.2239	111.703	82.4734	80.0439	77.3216
3.1	0	0	0	0	0	0	0	276.701	31.2326	111.602	82.3735	79.9442	77.2217
3.0	0	0	0	0	0	0	0	276.901	28.7275	111.501	82.2754	79.8452	77.1223
2.9	0	0	0	0	0	0	0	277.1	26.5623	111.402	82.1946	79.7471	77.0235
2.8	0	0	0	0	0	0	0	277.294	24.6355	111.304	82.1272	79.6504	76.9255
2.7	0	0	0	0	0	0	0	277.485	22.7025	111.208	82.0662	79.5556	76.8286
2.6	0	0	0	0	0	0	0	277.671	20.4154	111.113	82.0081	79.4625	76.7329
2.5	0	0	0	0	0	0	0	277.853	18.0232	111.021	81.9512	79.3713	76.6386
2.4	0	0	0	0	0	0	0	278.031	15.6021	110.931	81.8946	79.2818	76.5459
2.3	0	0	0	0	0	0	0	278.205	13.1547	110.843	81.8378	79.1954	76.4547
2.2	0	0	0	0	0	0	0	278.376	10.8472	110.758	81.7807	79.1162	76.3664
2.1	0	0	0	0	0	0	0	278.542	8.96647	110.674	81.7234	79.0413	76.2817
2.0	0	0	0	0	0	0	0	278.705	7.259	110.592	81.6658	78.971	76.2154
1.9	0	0	0	0	0	0	0	278.863	5.68249	110.512	81.6082	78.909	76.1681
1.8	0	0	0	0	0	0	0	279.017	4.20709	110.434	81.5508	78.8543	76.131
1.7	0	0	0	0	0	0	0	279.165	2.71422	110.359	81.4939	78.8052	76.0999
1.6	0	0	0	0	0	0	0	279.307	1.02164	110.287	81.4374	78.7601	76.0726
